"part_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max"
4517,4,NA,NA
4517,40,NA,NA
4517,31,NA,NA
4517,NA,50,55
4517,29,NA,NA
4517,59,NA,NA
4517,57,NA,NA
4517,4,NA,NA
4517,5,NA,NA
4517,5,NA,NA
4517,NA,50,55
4517,7,NA,NA
4517,4,NA,NA
4517,5,NA,NA
4518,5,NA,NA
4518,NA,25,30
4518,5,NA,NA
4518,NA,25,30
4518,NA,28,35
4518,4,NA,NA
4518,30,NA,NA
4518,5,NA,NA
4518,1,NA,NA
4518,30,NA,NA
4518,NA,40,45
4519,2,NA,NA
4519,32,NA,NA
4519,7,NA,NA
4519,NA,6,7
4519,NA,6,7
4519,NA,6,7
4519,28,NA,NA
4519,31,NA,NA
4520,33,NA,NA
4520,18,NA,NA
4520,48,NA,NA
4520,50,NA,NA
4520,7,NA,NA
4520,20,NA,NA
4521,1,NA,NA
4521,54,NA,NA
4521,25,NA,NA
4521,55,NA,NA
4521,30,NA,NA
4522,31,NA,NA
4522,59,NA,NA
4522,39,NA,NA
4522,31,NA,NA
4522,19,NA,NA
4522,4,NA,NA
4523,31,NA,NA
4523,11,NA,NA
4523,13,NA,NA
4523,40,NA,NA
4523,35,NA,NA
4523,4,NA,NA
4523,9,NA,NA
4523,39,NA,NA
4524,62,NA,NA
4524,37,NA,NA
4524,6,NA,NA
4524,6,NA,NA
4524,67,NA,NA
4524,7,NA,NA
4524,7,NA,NA
4524,4,NA,NA
4524,40,NA,NA
4524,7,NA,NA
4524,7,NA,NA
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,NA,20,30
4525,33,NA,NA
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,NA,2,4
4525,7,NA,NA
4525,NA,2,4
4526,59,NA,NA
4526,48,NA,NA
4526,46,NA,NA
4526,18,NA,NA
4527,30,NA,NA
4527,NA,30,40
4527,33,NA,NA
4527,NA,2,4
4528,7,NA,NA
4528,30,NA,NA
4528,32,NA,NA
4529,28,NA,NA
4529,29,NA,NA
4530,26,NA,NA
4530,25,NA,NA
4531,NA,5,7
4531,NA,5,7
4531,NA,5,7
4531,NA,5,7
4531,7,NA,NA
4531,NA,5,7
4531,NA,5,7
4531,NA,5,7
4531,NA,5,7
4531,33,NA,NA
4531,41,NA,NA
4531,NA,5,7
4531,7,NA,NA
4531,NA,28,33
4531,NA,5,7
4531,65,NA,NA
4531,7,NA,NA
4531,NA,6,7
4531,6,NA,NA
4531,7,NA,NA
4531,7,NA,NA
4531,NA,28,33
4531,NA,28,35
4531,NA,28,35
4531,71,NA,NA
4532,18,NA,NA
4532,7,NA,NA
4532,7,NA,NA
4532,7,NA,NA
4532,7,NA,NA
4532,7,NA,NA
4532,45,NA,NA
4532,16,NA,NA
4532,51,NA,NA
4532,42,NA,NA
4532,25,NA,NA
4533,6,NA,NA
4533,7,NA,NA
4533,NA,50,55
4533,64,NA,NA
4533,28,NA,NA
4533,30,NA,NA
4533,6,NA,NA
4533,6,NA,NA
4533,6,NA,NA
4533,8,NA,NA
4533,8,NA,NA
4533,28,NA,NA
4533,27,NA,NA
4533,37,NA,NA
4533,33,NA,NA
4533,6,NA,NA
4534,6,NA,NA
4534,2,NA,NA
4534,3,NA,NA
4534,3,NA,NA
4534,2,NA,NA
4534,52,NA,NA
4534,69,NA,NA
4534,2,NA,NA
4534,57,NA,NA
4534,NA,30,35
4534,34,NA,NA
4534,55,NA,NA
4534,6,NA,NA
4534,36,NA,NA
4534,30,NA,NA
4534,3,NA,NA
4534,28,NA,NA
4534,3,NA,NA
4534,4,NA,NA
4534,37,NA,NA
4534,NA,25,30
4534,NA,25,30
4534,NA,30,35
4534,3,NA,NA
4534,6,NA,NA
4535,36,NA,NA
4535,0,NA,NA
4535,63,NA,NA
4535,7,NA,NA
4535,33,NA,NA
4535,9,NA,NA
4535,35,NA,NA
4535,34,NA,NA
4536,29,NA,NA
4536,7,NA,NA
4536,39,NA,NA
4536,37,NA,NA
4536,37,NA,NA
4537,7,NA,NA
4537,40,NA,NA
4537,NA,35,40
4537,NA,40,45
4537,11,NA,NA
4537,NA,60,65
4537,35,NA,NA
4537,35,NA,NA
4538,NA,55,60
4538,2,NA,NA
4538,3,NA,NA
4538,13,NA,NA
4538,36,NA,NA
4538,29,NA,NA
4538,5,NA,NA
4538,8,NA,NA
4538,6,NA,NA
4538,NA,30,35
4539,31,NA,NA
4539,NA,50,60
4539,31,NA,NA
4540,43,NA,NA
4540,47,NA,NA
4540,NA,20,30
4541,7,NA,NA
4541,77,NA,NA
4541,61,NA,NA
4541,37,NA,NA
4541,35,NA,NA
4541,9,NA,NA
4542,NA,55,60
4542,NA,40,45
4542,7,NA,NA
4542,10,NA,NA
4542,30,NA,NA
4542,29,NA,NA
4542,2,NA,NA
4543,33,NA,NA
4543,10,NA,NA
4543,32,NA,NA
4543,36,NA,NA
4543,57,NA,NA
4544,34,NA,NA
4544,5,NA,NA
4544,36,NA,NA
4545,27,NA,NA
4545,30,NA,NA
4545,43,NA,NA
4545,7,NA,NA
4546,10,NA,NA
4546,5,NA,NA
4546,NA,35,40
4546,NA,25,30
4546,31,NA,NA
4546,33,NA,NA
4546,23,NA,NA
4546,21,NA,NA
4547,60,NA,NA
4547,59,NA,NA
4547,5,NA,NA
4547,25,NA,NA
4547,24,NA,NA
4548,5,NA,NA
4548,5,NA,NA
4548,10,NA,NA
4548,10,NA,NA
4548,4,NA,NA
4548,33,NA,NA
4548,64,NA,NA
4548,37,NA,NA
4548,8,NA,NA
4548,14,NA,NA
4548,39,NA,NA
4548,36,NA,NA
4549,NA,45,50
4549,13,NA,NA
4549,32,NA,NA
4549,41,NA,NA
4549,7,NA,NA
4549,13,NA,NA
4549,36,NA,NA
4549,34,NA,NA
4549,NA,35,40
4550,35,NA,NA
4550,35,NA,NA
4550,35,NA,NA
4550,25,NA,NA
4550,25,NA,NA
4550,20,NA,NA
4550,25,NA,NA
4550,3,NA,NA
4550,38,NA,NA
4550,35,NA,NA
4550,0,NA,NA
4550,6,NA,NA
4550,40,NA,NA
4550,8,NA,NA
4550,0,NA,NA
4550,36,NA,NA
4550,3,NA,NA
4550,8,NA,NA
4550,6,NA,NA
4550,3,NA,NA
4550,1,NA,NA
4550,2,NA,NA
4550,3,NA,NA
4550,3,NA,NA
4550,2,NA,NA
4550,6,NA,NA
4551,8,NA,NA
4551,13,NA,NA
4551,NA,60,65
4551,5,NA,NA
4551,6,NA,NA
4551,10,NA,NA
4551,12,NA,NA
4551,37,NA,NA
4551,5,NA,NA
4551,8,NA,NA
4551,37,NA,NA
4551,11,NA,NA
4551,39,NA,NA
4551,38,NA,NA
4551,11,NA,NA
4552,NA,50,55
4552,6,NA,NA
4552,6,NA,NA
4552,6,NA,NA
4552,NA,50,55
4552,6,NA,NA
4552,NA,25,29
4552,6,NA,NA
4552,NA,35,42
4552,NA,30,35
4552,1,NA,NA
4552,NA,25,29
4552,NA,30,35
4553,10,NA,NA
4553,NA,20,30
4553,52,NA,NA
4553,32,NA,NA
4553,13,NA,NA
4553,33,NA,NA
4553,50,NA,NA
4553,56,NA,NA
4554,26,NA,NA
4554,29,NA,NA
4554,41,NA,NA
4554,38,NA,NA
4554,3,NA,NA
4555,36,NA,NA
4555,36,NA,NA
4555,0,NA,NA
4556,30,NA,NA
4556,54,NA,NA
4556,58,NA,NA
4556,10,NA,NA
4556,10,NA,NA
4556,28,NA,NA
4556,8,NA,NA
4556,10,NA,NA
4556,28,NA,NA
4556,NA,25,30
4557,14,NA,NA
4557,24,NA,NA
4557,47,NA,NA
4557,1,NA,NA
4557,3,NA,NA
4557,3,NA,NA
4557,24,NA,NA
4557,21,NA,NA
4558,58,NA,NA
4558,NA,25,30
4558,20,NA,NA
4558,69,NA,NA
4558,29,NA,NA
4558,20,NA,NA
4558,3,NA,NA
4558,45,NA,NA
4559,56,NA,NA
4559,43,NA,NA
4559,16,NA,NA
4559,37,NA,NA
4559,37,NA,NA
4559,32,NA,NA
4559,29,NA,NA
4559,13,NA,NA
4559,5,NA,NA
4559,9,NA,NA
4559,12,NA,NA
4559,36,NA,NA
4559,35,NA,NA
4559,55,NA,NA
4559,70,NA,NA
4559,28,NA,NA
4560,3,NA,NA
4560,3,NA,NA
4560,6,NA,NA
4560,7,NA,NA
4560,27,NA,NA
4560,27,NA,NA
4560,7,NA,NA
4560,8,NA,NA
4560,3,NA,NA
4560,3,NA,NA
4561,7,NA,NA
4561,25,NA,NA
4561,7,NA,NA
4561,7,NA,NA
4561,7,NA,NA
4561,7,NA,NA
4561,7,NA,NA
4561,7,NA,NA
4561,11,NA,NA
4561,4,NA,NA
4561,26,NA,NA
4561,30,NA,NA
4561,7,NA,NA
4562,5,NA,NA
4562,27,NA,NA
4562,29,NA,NA
4562,11,NA,NA
4562,60,NA,NA
4562,2,NA,NA
4562,4,NA,NA
4562,32,NA,NA
4562,30,NA,NA
4562,2,NA,NA
4562,5,NA,NA
4562,5,NA,NA
4562,30,NA,NA
4562,39,NA,NA
4563,31,NA,NA
4563,2,NA,NA
4563,3,NA,NA
4563,NA,6,7
4563,42,NA,NA
4563,6,NA,NA
4563,5,NA,NA
4563,7,NA,NA
4563,6,NA,NA
4563,40,NA,NA
4563,35,NA,NA
4563,28,NA,NA
4563,NA,5,6
4563,6,NA,NA
4563,6,NA,NA
4563,5,NA,NA
4563,55,NA,NA
4563,3,NA,NA
4563,6,NA,NA
4563,45,NA,NA
4564,9,NA,NA
4564,6,NA,NA
4564,36,NA,NA
4564,12,NA,NA
4564,37,NA,NA
4564,36,NA,NA
