"part_id","part_age_exact","country","dayofweek"
4517,5,"United Kingdom",4
4518,5,"United Kingdom",4
4519,6,"United Kingdom",4
4520,3,"United Kingdom",6
4521,2,"United Kingdom",6
4522,4,"United Kingdom",6
4523,6,"United Kingdom",6
4524,7,"United Kingdom",6
4525,4,"United Kingdom",5
4526,2,"United Kingdom",5
4527,3,"United Kingdom",5
4528,4,"United Kingdom",0
4529,3,"United Kingdom",0
4530,3,"United Kingdom",0
4531,6,"United Kingdom",2
4532,7,"United Kingdom",1
4533,6,"United Kingdom",1
4534,3,"United Kingdom",1
4535,3,"United Kingdom",1
4536,0,"United Kingdom",1
4537,3,"United Kingdom",5
4538,0,"United Kingdom",5
4539,1,"United Kingdom",6
4540,0,"United Kingdom",6
4541,0,"United Kingdom",6
4542,0,"United Kingdom",6
4543,4,"United Kingdom",0
4544,3,"United Kingdom",0
4545,1,"United Kingdom",5
4546,0,"United Kingdom",5
4547,1,"United Kingdom",5
4548,6,"United Kingdom",5
4549,5,"United Kingdom",5
4550,1,"United Kingdom",1
4551,4,"United Kingdom",1
4552,5,"United Kingdom",2
4553,4,"United Kingdom",6
4554,4,"United Kingdom",6
4555,1,"United Kingdom",4
4556,0,"United Kingdom",4
4557,0,"United Kingdom",NA
4558,3,"United Kingdom",NA
4559,1,"United Kingdom",2
4560,3,"United Kingdom",2
4561,7,"United Kingdom",2
4562,5,"United Kingdom",2
4563,5,"United Kingdom",4
4564,6,"United Kingdom",4
4565,2,"United Kingdom",NA
4566,3,"United Kingdom",NA
4567,0,"United Kingdom",NA
4568,6,"United Kingdom",4
4569,6,"United Kingdom",4
4570,7,"United Kingdom",1
4571,6,"United Kingdom",3
4572,6,"United Kingdom",3
4573,6,"United Kingdom",3
4574,5,"United Kingdom",3
4575,4,"United Kingdom",2
4576,4,"United Kingdom",2
4577,4,"United Kingdom",2
4578,3,"United Kingdom",0
4579,2,"United Kingdom",0
4580,0,"United Kingdom",1
4581,3,"United Kingdom",1
4582,1,"United Kingdom",1
4583,7,"United Kingdom",3
4584,6,"United Kingdom",3
4585,4,"United Kingdom",0
4586,3,"United Kingdom",0
4587,4,"United Kingdom",0
4588,1,"United Kingdom",3
4589,3,"United Kingdom",3
4590,6,"United Kingdom",1
4591,7,"United Kingdom",1
4592,5,"United Kingdom",3
4593,5,"United Kingdom",3
4594,1,"United Kingdom",1
4595,1,"United Kingdom",1
4596,2,"United Kingdom",6
4597,7,"United Kingdom",1
4598,4,"United Kingdom",3
4599,3,"United Kingdom",3
4600,2,"United Kingdom",1
4601,4,"United Kingdom",1
4602,5,"United Kingdom",5
4603,1,"United Kingdom",4
4604,2,"United Kingdom",4
4605,1,"United Kingdom",4
4606,7,"United Kingdom",0
4607,7,"United Kingdom",0
4608,1,"United Kingdom",6
4609,7,"United Kingdom",5
4610,6,"United Kingdom",2
4611,2,"United Kingdom",6
4612,4,"United Kingdom",6
4613,2,"United Kingdom",0
4614,0,"United Kingdom",0
4615,3,"United Kingdom",2
4616,4,"United Kingdom",2
4617,3,"United Kingdom",2
4618,5,"United Kingdom",1
4619,5,"United Kingdom",1
4620,7,"United Kingdom",2
4621,6,"United Kingdom",2
4622,2,"United Kingdom",5
4623,4,"United Kingdom",5
4624,1,"United Kingdom",5
4625,7,"United Kingdom",2
4626,7,"United Kingdom",6
4627,5,"United Kingdom",6
4628,0,"United Kingdom",2
4629,2,"United Kingdom",2
4630,2,"United Kingdom",2
4631,7,"United Kingdom",5
4632,7,"United Kingdom",5
4633,6,"United Kingdom",0
4634,5,"United Kingdom",0
4635,7,"United Kingdom",3
4636,7,"United Kingdom",3
4637,7,"United Kingdom",3
4638,6,"United Kingdom",3
4639,7,"United Kingdom",2
4640,6,"United Kingdom",4
4641,3,"United Kingdom",5
4642,3,"United Kingdom",5
4643,6,"United Kingdom",6
4644,6,"United Kingdom",6
4645,2,"United Kingdom",2
4646,2,"United Kingdom",2
4647,2,"United Kingdom",1
4648,4,"United Kingdom",4
4649,3,"United Kingdom",4
4650,2,"United Kingdom",4
4651,6,"United Kingdom",3
4652,7,"United Kingdom",3
4653,7,"United Kingdom",0
4654,0,"United Kingdom",6
4655,1,"United Kingdom",4
4656,0,"United Kingdom",4
4657,2,"United Kingdom",5
4658,3,"United Kingdom",5
4659,6,"United Kingdom",6
4660,6,"United Kingdom",6
4661,5,"United Kingdom",5
4662,7,"United Kingdom",5
4663,8,"United Kingdom",5
4664,5,"United Kingdom",5
4665,3,"United Kingdom",6
4666,3,"United Kingdom",6
4667,4,"United Kingdom",3
4668,3,"United Kingdom",3
